CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,15,27,1,4
2,3,1,1,47
26,4,13,1,1
103,50,33,2,2
1,13,76,36,9
6,1,27,1,5
7,1,7,1,10
60,1,11,1,310
2,1,22,2,7
11,1,24,3,8
54,1,5,1,20
25,3,41,1,39
1,2,2,1,57
3,3,20,2,19
1,6,46,1,4
4,17,1,1,8
53,13,44,1,7
3,5,17,511,2
1,69,5,2,1
1,31,20,1,1
1,13,18,2,100
15,4,3,3,1
42,5,94,19,1
1,22,22,1,6
19,1,1,5,12
41,7,1,1,64
23,1,50,1,3
2,46,15,1,9
23,1,1,2,21
20,7,1,3,1
22,1,92,2,5
2,4,6,18,1
4,27,45,69,4
2,29,2,1,2
12,32,8,1,2
16,122,9,1,11
37,1,10,11,3
12,58,1,1,13
3,1,4,1,2
3,25,37,9,6
2,2,48,1,1
1,3,7,2,22
1,6,8,107,14
11,11,21,6,6
5,1,6,18,1
16,2,30,13,10
11,42,48,1,1
17,7,29,22,1
1,3,8,2,1
1,2,18,2,3
3,3,12,1,71
1,16,38,1,9
15,28,1,4,43
2,1,6,1,28
2,1,20,35,1
5,1,1,1,1
15,8,2,1,8
2,1,1,2,16
1,2,3,1,7
1,1,23,2,1
20,280,1,1,2
25,54,1,1,24
1,6,12,7,26
1,53,58,1,1
1,2,1,3,1
2,8,2,1,6
401,7,13,61,9
10,1,4,3,109
5,1,5,1,1
1,10,1,1,68
7,1,13,1,4
24,1,67,3,1
6,11,3,3,36
17,1,12,2,150
4,3,1,48,287
1,17,1,3,11
1,1,1,1,9
11,1,1,1,21
4,2,1,1,16
1,6,13,1,2
2,23,44,1,130
2,2,5,25,72
1,1,137,1,86
1,16,4,19,5
6,7,2,1,1
1,37,8,159,28
1,27,41,7,50
1,1,2,18,2
1,6,3,1,1
1,17,4,2,3
1,2,4,1,36
1,3,12,4,2
29,3,82,3,80
1,16,170,1,14
1,28,1,1,5
1,48,5,7,4
1,26,32,3,1
7,5,21,1,1
1,3,16,9,14
1,4,19,1,6
17,99,103,1,20
13,1,1,2,1
76,24,3,2,1
3,8,134,14,5
1,3,90,3,2
4,45,12,1,1
3,13,23,1,10
3,2,18,2,8
9,2,49,1,53
6,1,73,9,18
54,3,2,3,2
3,1,4,2,1
3,2,84,30,120
2,1,2,8,1
1,1,35,2,1
6,1,1,1,10
1,1,2,1,17
14,2,1,4,3
1,1,18,1,22
1,1,1,3,1
1,14,1,1,1
3,7,96,2,1
2,4,2,1,1
2,1,1,1,60
12,33,11,1,1
1,5,1,1,29
4,12,3,1,43
69,1,1,1,1
8,1,27,2,31
1,13,1,2,28
49,4,72,27,31
1,1,4,7,1
6,4,2,1,6
2,1,1,1,1
3,1,31,1,5
19,2,106,5,3
93,8,8,1,2
4,3,12,1,2
2,13,1,4,1
1,30,1,507,11
1,4,1,1,1
2,4,1,1,17
25,34,1,1,1
2,41,1,3,6
1,1,1,1,24
37,4,1,7,4
6,1,1,1,1
7,3,65,4,9
42,2,7,1,62
2,2,4,10,1
2,1,131,1,2
1,3,5,1,4
1,13,1,4,5
47,3,2,2,16
1,22,42,1,1
12,1,2,1,6
1,34,1,1,9
2,1,8,1,2
1,1,19,3,6
1,5,9,1,18
37,1,82,5,2
6,17,10,1,2
1,14,1,3,2
10,12,304,3,6
4,1,2,13,1
1,1,28,2,118
1,1,1,1,33
8,2,4,126,7
4,1,39,1,1
15,4,109,1,1
27,8,8,21,1
4,59,79,7,1
5,1,13,1,14
1,11,185,3,1
1,1,118,1,1
4,1,18,36,1
13,4,32,1,4
2,66,1,5,1
9,1,1,1,1
9,1,24,1,2
14,4,117,2,8
1,2,1,1,2
4,74,1,1,2
3,2,26,1,1
2,24,1,1,2
1,2,2,1,1
11,1,141,2,1
1,44,8,3,1
1,2,7,8,1
3,4,4,3,9
21,1,105,4,1
1,9,3,11,1
1,26,4,4,1
1,2,21,1,1
23,1,6,9,1
78,1,3,4,1
19,4,23,4,1
2,1,1,49,1
2,3,95,2,1
7,7,1,1,16
264,5,6,1,1
6,36,1,1,7
11,9,1,8,2
16,1,31,2,4
1,4,1,2,2
7,1,21,3,46
15,2,138,6,1
4,3,4,31,2
1,133,1,1,1
1,90,1,1,150
3,16,1,5,6
1,1,1,1,5
1,1,1,56,4
1,3,1,1,131
3,1,1,21,56
1,3,1,1,3
7,3,3,6,8
1,1,74,8,1
1,2,7,156,2
1,9,58,6,1
1,12,2,72,2
2,1,2,1,3
2,18,3,4,11
1,1,1,1,2
10,34,10,6,15
60,3,23,10,1
1,3,80,27,2
33,1,1,1,1
11,39,5,2,1
13,2,2,1,4
9,1,16,1,1
1,18,208,1,2
1,85,1,11,17
20,3,20,5,17
1,9,1,1,1
2,55,23,1,21
4,1,3,1,1
2,1,1,10,5
2,1,29,12,6
6,5,19,35,6
2,1,53,11,3
3,7,11,3,2
28,1,52,2,3
2,63,85,13,22
23,1,21,1,2
16,36,13,1,55
1,2,53,1,6
4,17,11,1,51
3,47,42,2,72
3,2,1,1,6
1,10,2,1,2
2,9,18,1,11
14,1,6,1,23
17,23,101,1,7
7,45,2,3,1
1,20,1,1,7
2,2,17,1,1
3,1,57,1,66
8,7,5,1,7
5,1,1,1,1
7,17,1,71,1
14,1,1,10,1
14,1,2,1,2
33,1,8,4,3
1,1,48,4,1
1,4,1,1,46
1,1,1,13,3
13,1,1,1,1
34,1,1,1,20
3,5,10,11,1
4,1,1,1,129
32,1,2,3,6
3,13,1,7,1
28,17,16,68,1
22,3,29,1,17
5,19,12,1,1
1,43,6,1,41
4,1,6,9,1
1,1,12,46,5
9,3,3,1,2
1,1,16,1,43
1,1,28,1,231
148,61,24,2,7
4,11,1,2,5
1,2,2,17,45
2,9,21,1,42
1,1,27,1,2
1,14,1,5,1
2,43,22,1,4
2,112,39,6,78
5,1,17,4,33
40,63,1,3,3
3,7,3,1,1
4,4,10,1,1
1,58,16,3,183
1,1,26,30,1
2,3,1,1,1
2,18,8,1,5
1,12,15,1,25
11,24,6,1,12
1,3,19,1,16
23,4,2,1,3
1,4,14,6,1
1,5,14,2,2
2,2,2,1,13
1,2,5,1,15
6,37,1,1,2
25,3,1,1,1
1,5,16,13,15
6,1,86,1,6
28,1,5,2,2
7,11,1,1,6
8,4,1,71,4
57,1,25,1,1
5,2,1,4,28
6,11,1,6,3
1,174,7,1,7
24,68,108,1,7
33,1,10,29,9
36,10,25,1,2
95,5,1,3,1
1,2,7,1,1
1,7,8,505,10
1,6,12,11,12
9,1,1,17,5
35,13,3,1,1
51,1,66,4,10
1,9,71,1,2
14,2,3,14,46
11,4,12,1,4
1,1,20,5,1
41,1,1,107,5
9,28,45,1,67
13,1,46,1,4
1,13,41,1,2
7,4,1,1,11
39,11,12,3,6
9,1,14,3,4
8,30,10,1,3
2,3,44,2,6
52,13,1,25,1
1,27,2,2,24
8,11,29,2,26
2,3,1,12,1
12,4,24,1,20
2,1,2,2,7
5,2,13,1,1
1,1,2,1,1
2,115,67,2,1
19,3,2,1,1
7,1,4,1,1
1,2,3,25,191
34,4,4,1,11
4,5,1,3,93
29,2,14,2,34
2,2,2,10,35
1,18,1,4,1063
1,5,13,1,3
3,1,78,1,1
38,2,5,13,10
1,15,7,1,2
2,2,1,3,1
1,1,1,16,26
1,5,15,1,6
24,1,66,7,4
1,4,1,3,19
4,32,107,3,2
2,15,6,63,24
3,4,3,3,10
2,7,5,1,371
14,9,46,1,44
6,4,1,5,1
9,1,12,3,8
15,5,3,3,1
290,1,3,2,4
3,2,12,1,6
20,1,1,1,1
7,1,86,27,2
1,3,1,18,80
4,1,187,91,2
1,1,18,7,1
1,3,32,2,21
1,1,33,3,9
2,2,23,13,14
1,1,71,101,70
3,8,8,6,8
1,33,1,2,10
1,2,106,2,1
2,7,56,1,4
1,4,7,1,12
1,17,30,3,56
6,20,5,4,1
16,1,10,6,10
63,1,72,1,3
1,1,1,9,5
1,37,1,1,1
3,3,56,235,1
7,1,2,4,1
4,14,68,10,15
3,1,1,7,20
1,11,1,1,1
10,9,12,2,7
8,59,5,3,50
5,80,63,1,4
1,67,9,1,25
3,2,2,1,41
25,30,31,12,1
1,1,2,1,71
2,3,77,2,1
6,3,1,1,1
3,8,3,1,11
2,3,1,7,35
31,5,13,1,13
1,9,77,2,2
21,11,4,366,7
41,14,14,5,1
2,3,1,1,39
163,8,2,1,3
3,1,1,1,10
1,2,1,1,38
9,1,1,6,1
87,156,1,1,6
2,39,1,15,19
1,2,1,4,9
11,19,52,10,3
4,1,1,2,1
1,5,62,82,1
2,6,3,6,13
22,3,1,1,3
93,2,1,1,2
105,2,1,3,76
2,2,25,1,7
1,10,1,1,6
6,5,3,52,1
9,2,5,1,19
2,5,65,1,1
11,10,2,3,1
1,1,1,1,4
2,2,1,5,1
9,2,1,41,2
120,1,228,10,7
1,22,20,4,17
68,4,12,2,23
1,19,10,10,1
6,17,55,2,19
32,1,6,2,2
1,12,70,1,1
1,2,15,1,4
63,3,161,10,1
70,9,50,2,9
1,3,9,1,35
1,16,16,4,43
34,2,1,2,1
2,3,3,40,5
85,52,18,1,4
1,21,68,1,2
2,4,2,1,59
2,19,1,5,1
36,11,12,4,1
6,1,1,1,1
1,1,1,1,1
29,1,35,7,8
13,3,7,17,8
5,2,11,2,20
35,1,1,102,7
2,1,50,3,1
104,1,1,8,8
15,5,4,1,23
1,27,6,86,2
1,38,1,7,13
1,1,3,1,20
6,5,48,1,2
10,3,1,1,1
9,11,1,1,9
8,14,1,3,1
1,29,1,6,2
1,4,17,24,3
17,1,1,103,1
25,2,10,1,15
4,12,1,11,2
2,39,54,5,5
1,36,7,1,3
3,81,1,1,2
1,1,1,1,20
16,32,2,4,2
2,22,1,1,99
2,1,2,2,63
1,13,1,1,54
3,10,1,1,3
1,4,1,1,1
2,3,3,11,1
2,26,48,1,4
4,3,32,1,1
68,8,2,12,1
34,2,4,1,1
31,4,52,4,1
47,8,1,426,1
1,12,40,2,2
3,8,22,3,1
13,2,1,1,5
593,5,7,5,372
27,4,7,1,6
3,1,3,1,1
24,208,4,28,2
6,59,1,2,1
1,1,10,14,4
1,27,36,1,4
8,2,36,1,1
3,8,1,50,1
8,10,10,2,1
2,6,18,1,1
2,10,14,1,1
1,20,4,1,1
5,1,19,1,1
10,1,45,2,2
1,1,12,57,1
1,13,8,1,2
16,12,9,1,13
2,1,7,1,1
1,9,30,1,1
1,15,1,102,1
1,10,7,4,6
10,2,23,6,1
38,2,8,1,1
7,4,43,4,1
23,1,1,1,4
131,8,3,20,1
3,19,5,3,1
1,19,7,1,1
1,2,6,2,1
3,1,4,23,1
3,25,2,1,1
1,1,22,5,2
1,1,84,1,1
34,3,8,1,1
2,1,18,5,1
4,13,1,2,16
1,17,1,1,32
2,18,1,3,17
1,22,1,13,8
2,10,30,4,11
1,3,2,1,3
3,5,2,2,2
1,68,1,1,1
1,2,108,18,1
20,20,1,1,4
8,15,2,1,2
1,1,4,1,2
4,1,31,2,158
2,22,1,3,1
1,8,6,1,1
9,1,12,3,3
3,1,2,31,8
6,1,12,1,1
60,4,64,1,1
3,1,111,1,2
56,1,3,1,11
2,1,13,5,4
4,1,1,2,1
2,1,38,12,104
1,1,3,126,3
29,1,2,1,27
55,1,79,9,1
1,4,1,10,1
3,3,100,1,5
11,3,76,5,1
29,3,1,40,5
2,18,4,7,44
2,1,21,1,5
39,7,27,2,1
21,5,47,7,1
1,5,1,3,1
41,1,1,1,3
11,5,9,5,2
1,3,71,3,2
39,2,1,18,1
29,1,32,3,2
2,5,3,1,9
19,1,1,40,3
2,1,1,1,31
34,2,20,10,4
12,4,4,3,4
5,7,74,3,1
14,2,5,2,3
15,2,1,6,33
19,14,2,2,12
3,4,1,1,1
4,1,4,1,1
20,34,1,1,56
27,41,16,3,4
7,3,1,2,5
5,1,1,1,1
2,1,1,1,8
1,1,5,1,2
5,2,1,1,56
2,6,16,2,3
3,1,81,26,17
1,1,4,2,1
5,2,7,1,29
18,3,1,1,1
9,18,1,1,2
14,20,1,1,35
1,2,1,1,4
1,20,1,2,12
4,1,1,1,1
1,7,1,1,3
12,12,1,1,3
1,2,3,518,44
1,8,24,1,2
3,1,70,2,1
2,1,1,3,7
13,21,97,4,2
1,3,6,1,13
1,1,1,11,87
1,1,2,1,8
1,2,25,5,4
25,1,1,3,34
8,2,13,3,7
4,1,1,2,5
291,16,1,5,23
7,20,10,1,194
1,6,1,67,23
2,1,80,1,8
17,51,5,2,11
11,7,150,6,25
7,1,1,6,2
1,75,10,1,27
13,10,15,6,12
1,37,56,1,4
1,53,11,1,1
1,3,53,132,12
1,2,4,2,201
1,1,105,23,7
1,5,68,12,3
1,6,14,1,2
1,9,22,22,1
1,1,1,1,31
14,2,9,1,2
1,1,66,5,8
1,7,1,1,11
1,5,37,1,51
2,3,1,1,1
14,1,73,18,1
5,19,5,3,1
56,2,5,3,18
2,1,1,6,1
3,1,8,2,18
2,8,1,1,4
1,8,58,1,1
3,99,1,3,11
4,32,9,1,29
82,6,1,48,1
1,1,10,1,1
10,1,2,15,1
1,3,64,2,1
3,1,1,1,2
1,5,6,5,2
1,5,1,36,1
1,1,1,1,26
2,5,8,4,5
1,3,67,1,1
2,5,7,1,1
1,2,3,6,62
3,14,1,2,1
