CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,1,2,2,24
5,7,4,24,1
4,1,20,1,1
5,2,1,1,6
3,3,6,1,2
17,511,6,1,85
1,85,1,1,1
1,6,2,12,26
2,38,28,1,4
1,1,20,7,18
569,2,3,1,152
4,6,4,71,307
7,2,1,7,9
1,10,9,11,3
2,8,2,1,20
1,1,3,3,13
16,3,7,1,1
13,10,120,2,1
1,4,27,1,31
1,2,3,12,49
1,7,1,2,4
240,1,41,11,1
1,10,10,1,1
1,2,22,1,18
6,1,2,1,22
17,2,3,12,1
2,3,69,1,1
9,20,9,3,1
4,3,1,4,8
1,2,1,3,2
9,1,1,1,14
1,1,36,11,14
4,14,139,19,3
1,1,2,3,5
1,3,5,1,2
2,1,5,3,7
1,17,4,3,1
1,22,1,1,1
1,21,4,1,8
1,23,17,1,8
2,4,1,1,47
1,2,5,1,20
1,72,1,1,1
2,1,1,1,46
1,6,1,1,1
25,10,34,1,2
1,1,5,16,5
1,28,266,5,3
1,16,2,1,5
1,1,1,9,1
3,1,5,1,1
1,2,20,1,1
8,3,2,4,20
5,1,9,989,1
68,1,3,1,3
4,1,8,1,25
8,1,71,2,1
2,1,84,1,1
12,1,1,1,23
2,1,5,1,15
6,1,36,1,6
50,2,16,2,1
22,1,12,8,1
1,11,8,2,1
1,3,30,1,1
1,6,1,1,2
2,1,2,1,12
1,2,207,1,1
11,6,133,3,17
1,19,4,1,1
9,1,27,2,3
1,1,4,1,14
1,4,8,1,1
1,5,71,6,1
2,1,2,5,1
20,3,3,1,35
1,2,225,1,1
1,1,3,29,2
6,1,130,2,7
100,1,24,12,8
1,1,1,6,1
8,1,3,3,5
61,133,1,1,4
7,17,2,6,1
2,4,1,1,1
3,3,36,7,10
3,20,2,1,3
38,16,1,28,3
2,1,9,1,2
3,3,2,1,7
1,1,1,1,1
1,23,1,1,1
1,1,12,2,311
8,6,68,1,31
4,13,3,1,1
1,2,10,2,1
1,2,4,6,1
3,1,16,5,5
6,6,23,6,1
72,3,5,3,1
2,3,9,1,2
1,1,1,4,1
2,3,1,2,1
25,5,1,3,1
2,11,1,12,3
3,1,1,3,1
2,2,1,1,2
1,1,1,2,1
10,2,1,1,2
16,15,1,1,1
1,80,31,13,3
12,2,7,2,1
3,20,3,2,2
1,2,433,2,1
1,3,3,4,1
12,1,1,18,1
10,1,36,1,1
22,3,1,9,10
3,43,5,1,1
1,22,21,57,1
1,1,2,16,1
1,41,133,1,1
6,6,2,4,1
4,1,145,4,1
4,3,4,24,1
8,5,12,7,3
2,1,4,35,1
3,1,28,3,1
1,3,86,1,16
1,2,42,1,1
1,1,6,1,6
395,12,152,2,1
2,6,128,1,1
11,3,21,11,51
1,634,1,14,1
21,1,8,1,42
52,1,99,1,5
7,5,1,1,43
3,1,206,8,18
5,3,2,1,2
1,3,233,1,9
171,64,79,17,2
4,42,7,6,2
9,14,1,5,2
10,2,34,15,1
1,1,4,3,10
1,1,1,8,2
10,1,6,1,4
4,1,3,5,1
1,1,1,2,14
1,1,92,1,1
1,2,1,1,2
1,4,5,1,1
1,11,37,1,2
1,7,3,1,1
3,1,5,1,12
1,10,11,1,5
6,1,21,1,2
1,1,3,1,10
1,4,1,1,8
1,3,1,1,1
1,13,1,1,2
2,5,1,25,6
1,2,1,7,5
1,14,1,1,2
1,16,2,3,1
5,1,1,5,1
26,1,1,3,21
3,3,1,22,25
5,7,1,1,45
10,1,4,2,6
1,24,1,5,32
5,7,473,8,1
1,4,3,25,36
1,31,4,1,1
2,1,1,1,2
41,7,9,3,25
2,2,16,2,4
3,17,38,1,1
8,39,1,1,3
15,16,1,1,1
1,1,13,1,23
1,1,95,2,6
1,1,3,2,2
9,1,1,2,5
2,1,15,1,2
19,1,23,1,40
39,2,1,1,1
10,2,1,1,1
