CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
27,33,1,2,6
1,1,1,21,223
35,10,38,2,2
29,2,13,3,1
26,1,5,7,41
2,14,10,12,50
21,1,19,4,95
27,4,1,1,13
31,1,153,1,8
3,25,19,1,1
2,1,40,20,8
16,1,6,1,1
12,1,1,1,2
18,4,1,1,1
1,22,106,1,104
6,30,3,1,3
2,48,17,1,8
1,232,46,1,13
1,93,5,1,38
8,1,4,19,8
7,18,7,4,8
7,3,1,8,21
4,2,3,2,3
17,4,34,1,7
3,17,104,10,3
2,1,15,9,2
1,2,6,1,2
3,39,11,4,13
16,3,7,1,3
12,5,14,438,15
4,4,68,20,7
11,5,41,3,5
1,23,8,2,4
2,24,5,8,27
35,1,41,1,7
13,8,11,37,6
1,1,24,4,1
2,3,3,5,6
1,251,2,3,1
3,55,1,1,2
435,7,4,2,3
3,65,18,1,84
1,1,2,1,10
1,1,1,8,71
5,5,3,20,9
25,5,41,5,1
2,10,1,1,2
12,3,1,1,14
5,1,17,1,14
12,17,3,1,3
1,2,3,16,1
4,5,1,1,1
1,26,6,10,2
2,1,48,2,21
1,5,2,83,37
1,9,11,3,1
1,1,1,28,1
1,17,1,12,7
1,4,1,1,8
1,4,2,32,118
1,5,45,2,47
1,29,4,15,3
1,5,168,1,31
28,1,2,6,150
1,5,2,1,266
1,23,6,1,7
1,2,37,12,5
6,3,1,1,25
1,2,3,1,22
18,19,4,1,2
12,15,100,1,1
117,36,229,1,1
4,33,1,4,73
12,9,5,1,1
3,2,25,3,85
3,5,30,3,6
2,72,9,5,1
3,16,9,1,27
68,11,83,92,48
2,3,5,1,7
2,40,188,1,1
1,15,119,7,2
3,1,3,1,31
1,1,25,3,1
6,2,4,45,100
2,1,20,2,21
9,3,103,1,6
1,1,1,1,3
2,2,5,1,1
1,1,132,25,1
2,1,3,14,6
2,1,33,1,4
15,1,1,134,8
1,1,3,7,1
2,2,1,23,1
1,1,1,1,3
151,3,7,4,9
1,16,2,1,15
11,3,2,2,75
69,8,67,2,26
12,8,1,1,2
2,7,9,20,92
1,15,1,14,1
3,2,1,14,4
2,1,23,2,14
22,1,1,2,6
66,1,75,1,16
1,3,6,21,1
4,6,3,1,1
1,1,1,1,2
1,1,25,1,1
1,20,28,2,98
20,2,5,1,1
3,3,9,19,26
2,1,1,8,30
13,38,1,1,1
2,2,1,32,2
4,1,1,20,1
50,92,43,2,28
3,38,1,1,21
3,1,11,1,52
2,1,205,2,1
46,1,6,1,12
2,2,2,3,2
8,2,5,9,1
1,1,52,1,2
2,3,2,1,1
1,10,4,1,1
21,3,3,2,1
6,11,111,2,12
1,1,1,1,1
7,12,321,5,48
5,1,2,1,4
1,2,37,1,3
1,3,1,1,34
5,1,4,1,1
3,14,55,1,1
14,16,135,1,10
2,6,68,2,62
4,1,12,22,1
2,1,205,8,1
1,2,165,8,2
3,1,27,1,7
2,1,16,1,6
13,1,174,4,1
1,9,1,3,6
9,56,50,461,5
5,2,2,1,2
15,8,94,1,5
2,1,5,3,21
3,3,3,3,6
5,12,2,2,3
6,1,48,1,2
