CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
7,1,3,48,5
1,1,31,1,7
56,2,55,90,5
1,1,6,2,178
3,1,47,21,4
7,11,7,3,1
22,11,59,1,58
21,4,2,3,52
1,2,1,1,96
1,29,38,1,10
5,31,11,10,9
1,38,5,14,1
75,2,18,4,9
4,12,25,1,1
2,2,2,1,2
1,3,34,23,1
2,18,22,1,122
28,1,1,1,3
33,4,1,1,13
1,1,57,1,13
10,25,8,1,47
30,1,2,1,6
31,2,114,29,6
2,3,2,6,19
25,20,18,8,1
24,32,27,1,3
35,42,9,4,7
5,77,6,1,2
19,94,6,1,1
12,1,2,11,1
23,28,6,1,12
1,4,42,10,2
1,2,39,1,17
14,7,7,4,8
2,20,9,1,5
2,1,1,241,1
1,2,20,24,34
8,39,2,2,8
6,4,6,3,5
5,6,22,7,5
6,7,60,2,1
17,7,46,71,2
3,24,1,3,3
1,23,10,4,93
1,3,4,5,10
4,6,50,1,78
22,2,13,1,11
16,2,41,1,1
3,3,4,2,2
8,317,1,2,20
1,58,1,9,14
2,5,4,19,8
35,65,26,8,1
18,1,2,1,1
1,2,1,1,2
2,9,5,1,26
1,9,57,15,46
1,1,1,1,1
411,10,4,1,1
6,2,2,9,9
3,1,19,3,8
1,25,2,122,153
5,1,4,3,1
33,6,1,36,55
3,22,8,15,5
12,2,29,1,28
5,5,5,22,144
1,9,14,3,291
12,18,1,22,6
1,1,1,1,5
2,1,1,1,23
2,1,2,6,18
3,4,41,1,2
1,5,6,1,1
1,41,173,24,1
2,8,4,1,57
1,10,3,2,1
1,1,8,1,83
1,20,39,1,4
1,1,2,1,1
2,4,1,3,32
1,2,3,1,50
29,17,2,4,7
1,23,8,3,1
1,32,100,5,1
1,32,128,4,35
4,10,1,103,1
1,5,5,1,84
1,80,35,1,21
17,21,30,1,7
10,10,13,10,2
141,3,13,2,1
2,49,66,2,1
1,17,1,43,5
12,1,4,1,1
3,1,143,1,8
3,1,149,1,12
3,2,3,1,1
6,2,20,1,1
61,1,5,31,3
3,1,21,36,11
1,1,109,146,12
3,1,2,10,82
1,2,5,19,1
3,1,167,4,24
1,3,2,1,3
7,21,35,4,114
1,4,3,3,1
8,8,1,1,4
1,7,1,28,10
1,5,9,2,4
1,25,3,14,18
1,4,74,2,1
2,4,2,1,1
16,6,1,1,2
1,1,8,22,2
2,6,1,1,112
1,2,1,1,1
97,1,21,5,39
11,19,1,1,34
64,2,90,20,1
1,1,4,8,1
15,7,4,2,35
2,1,1,30,21
3,31,35,28,60
2,2,33,1,1
20,3,16,2,12
59,67,13,3,2
1,30,1,1,2
4,1,1,5,1
1,1,1,1,2
1,1,1,4,1
2,4,1,9,13
18,2,1,1,1
6,1,1,1,51
2,3,1,1,4
18,11,1,2,7
4,3,1,2,25
6,10,40,1,4
51,1,1,6,10
4,11,11,1,67
3,2,223,1,1
1,5,1,1,1
1,1,4,2,1
50,13,2,2,1
2,25,7,2,1
19,13,49,42,9
2,1,3,5,12
2,1,5,8,6
1,2,2,3,7
1,1,119,1,1
27,2,3,4,5
5,1,269,1,14
1,9,6,1,7
12,38,32,1,2
8,8,1,240,1
1,13,4,1,5
1,1,70,2,1
7,3,110,2,1
3,8,1,5,126
15,1,76,3,48
7,3,14,27,2
2,17,176,3,1
6,66,175,1,1
2,2,23,11,1
1,36,1,1,1
3,1,17,1,55
2,1,204,22,1
14,89,1,2,1
1,5,1,1,7
9,1,59,1,5
4,5,1,1,1
12,43,1,1,1
1,1,110,2,1
1,3,5,1,7
3,4,2,9,1
3,1,3,1,1
1,7,46,1,3
8,11,4,3,2
1,5,3,13,3
2,37,8,1,1
14,1,1,154,2
21,3,2,1,1
92,2,11,1,1
10,2,1,44,1
3,1,133,15,1
5,4,5,4,8
4,192,2,1,1
297,120,1,40,1
8,28,34,1,1
12,3,1,6,1
16,1,1,5,2
1,2,15,3,1
4,1,51,1,1
12,5,14,1,1
5,1,1,1,1
1,1,1,1,1
1,3,1,2,36
12,1,1,4,1
1,1,1,1,17
1,1,2,1,2
4,7,1,3,4
1,1,1,1,72
9,1,1,4,3
2,29,1,4,133
1,43,1,4,8
1,3,18,8,4
1,2,55,2,1
1,1,3,5,87
2,14,1,4,17
1,6,3,8,1
1,3,2,61,11
7,12,10,2,1
43,58,20,1,2
3,5,111,2,2
4,15,1,1,1
35,21,9,1,1
14,1,180,12,3
7,1,1,2,2
6,8,28,1,1
1,5,1,3,1
2,2,24,7,16
43,31,2,8,1
3,24,1,27,1
3,5,41,1,1
7,11,15,2,2
2,38,50,6,1
1,1,9,1,1
9,2,1,71,1
1,9,78,32,32
4,4,135,1,22
4,1,9,23,3
28,38,25,6,4
1,70,8,130,14
29,23,101,1,2
13,4,3,9,3
1,3,19,75,17
1,1,7,5,9
2,1,40,4,1
1,1,1,1,1
4,1,2,1,21
4,2,1,1,12
13,7,13,1,59
17,1,64,5,5
2,1,6,44,54
1,2,1,30,1
2,1,2,1,58
3,3,2,1,6
6,1,6,1,3
4,1,36,17,28
4,20,2,1,1
1,8,1,4,11
11,3,1,35,3
12,26,1,12,1
37,29,1,1,78
1,1,3,39,11
3,2,1,23,1
14,1,1,2,4
31,2,1,1,2
2,11,27,2,1
1,1,1,12,48
8,7,36,1,3
1,2,7,1,1
22,3,2,6,15
13,17,1,4,1
4,76,12,1,87
1,1,3,2,7
2,88,15,1,1
4,146,32,1,5
13,10,23,2,1
2,2,5,1,14
142,1,29,1,14
2,25,1,1,109
4,1,26,1,5
2,1,1,1,3
1,14,20,1,2
4,14,49,1,34
1,11,27,1,170
4,2,1,94,1
62,1,6,10,8
2,4,4,1,50
1,1,25,3,95
6,1,46,9,2
5,41,1,1,1
1,6,12,3,8
2,4,11,3,69
3,9,3,2,41
1,1,33,10,5
9,3,2,1,1
2,11,15,2,1
2,2,11,5,236
2,2,1,1,1
13,1,7,4,1
1,6,2,9,4
39,190,7,1,26
7,118,1,77,8
3,3,1,1,14
72,10,6,1,2
2,8,17,1,8
4,2,7,1,13
1,5,2,5,1
25,2,22,7,6
17,4,1,1,1
39,2,8,3,1
59,14,1,1,1
1,1,121,2,27
23,11,13,7,2
30,1,38,10,5
2,7,1,1,2
16,1,1,1,1
10,1,7,4,6
1,8,1,1,4
1,2,1,1,1
57,1,6,3,26
3,17,95,4,1
4,3,68,1,1
1,16,1,1,4
15,1,16,119,2
8,35,1,1,1
7,1,17,1,12
2,3,27,1,1
49,11,68,1,1
1,12,69,1,3
10,9,1,1,12
1,1,1,1,1
10,2,5,14,15
3,8,7,1,1
4,4,69,2,54
6,68,11,4,4
4,2,53,2,1
23,1,13,1,3
4,9,1,1,76
4,3,1,1,3
34,2,8,10,2
2,3,2,1,20
24,2,68,1,9
2,15,3,7,2
1,2,3,1,3
2,12,1,1,5
2,10,1,1,1
36,2,12,4,23
2,2,3,7,15
2,9,2,1,13
11,1,1,1,9
1,1,11,56,1
5,1,31,2,1
3,10,7,1,1
1,42,8,1,1
2,13,1,1,246
13,3,1,377,12
7,2,41,33,108
6,7,1,22,31
9,5,140,3,16
2,1,5,1,1052
345,3,4,1,8
2,1,10,10,1
34,1,46,8,1
5,1,1,1,37
1,1,17,37,6
1,2,1,4,4
2,1,2,1,21
1,2,8,3,2
1,7,1,4,9
1,1,125,12,12
20,2,1,1,42
1,1,137,1,1
1,3,28,1,1
1,14,29,24,1
1,17,20,4,2
1,6,9,1,1
1,2,44,45,2
1,4,8,1,2
7,4,116,1,2
30,9,91,1,108
138,23,1,1,3
1,1,31,1,1
1,15,1,1,3
5,2,9,1,7
2,2,107,3,12
4,13,1,257,69
5,5,3,1,2
1,62,101,10,8
9,62,1,3,5
10,77,1,1,4
6,29,62,1,13
1,2,3,1,61
2,1,1,13,8
8,4,7,4,1
