CoreFX,CoreCLR,Roslyn,Rust,Kubernetes,KubernetesSum
,,,3,52,0.3063779458
,,,12,52,0.3070322232
,,,,52,0.3076865005
,,,,52,0.3083407778
,,,,52,0.3089950552
,,,,52,0.3096493325
,,,,52,0.3103036098
,,,,52,0.3109578872
,,,,52,0.3116121645
,,,,52,0.3122664419
,,,,52,0.3129207192
27,3,1,36,51,0.3135624143
1,21,1,6,51,0.3142041094
1,15,,23,51,0.3148458044
21,2,,57,51,0.3154874995
6,2,,2,51,0.3161291946
10,,,9,51,0.3167708897
,,,40,51,0.3174125848
,,,,51,0.3180542799
,,,,51,0.3186959749
,,,,51,0.31933767
,,,,51,0.3199793651
,,,,51,0.3206210602
,,,,51,0.3212627553
61,1,14,33,50,0.3218918681
23,7,66,29,50,0.3225209809
32,1,1,1,50,0.3231500937
1,16,7,12,50,0.3237792066
14,1,60,36,50,0.3244083194
2,,,1,50,0.3250374322
,,,,50,0.325666545
,,,,50,0.3262956579
,,,,50,0.3269247707
,,,,50,0.3275538835
,,,,50,0.3281829963
2,7,4,10,49,0.3287995269
2,1,2,5,49,0.3294160575
1,20,39,15,49,0.330032588
1,2,1,19,49,0.3306491186
9,4,2,8,49,0.3312656492
10,1,1,50,49,0.3318821798
3,4,9,9,49,0.3324987103
2,8,,1,49,0.3331152409
26,,,42,49,0.3337317715
35,,,2,49,0.334348302
,,,,49,0.3349648326
,,,,49,0.3355813632
,,,,49,0.3361978937
,,,,49,0.3368144243
,,,,49,0.3374309549
1,2,27,7,48,0.3380349032
16,48,80,29,48,0.3386388515
9,1,2,4,48,0.3392427998
9,38,1,7,48,0.3398467481
19,1,14,28,48,0.3404506964
1,15,,1,48,0.3410546447
10,1,,1,48,0.3416585931
1,,,19,48,0.3422625414
7,,,1,48,0.3428664897
,,,,48,0.343470438
,,,,48,0.3440743863
,,,,48,0.3446783346
,,,,48,0.3452822829
,,,,48,0.3458862312
,,,,48,0.3464901795
7,6,1,57,47,0.3470815456
1,2,54,50,47,0.3476729117
14,40,33,33,47,0.3482642777
19,1,81,2,47,0.3488556438
1,27,7,1,47,0.3494470098
12,1,,54,47,0.3500383759
1,,,9,47,0.3506297419
,,,,47,0.351221108
,,,,47,0.351812474
,,,,47,0.3524038401
,,,,47,0.3529952062
,,,,47,0.3535865722
,,,,47,0.3541779383
,,,,47,0.3547693043
,,,,47,0.3553606704
,,,,47,0.3559520364
1,27,46,3,46,0.3565308202
1,5,61,1,46,0.357109604
13,1,15,1,46,0.3576883878
4,1,21,28,46,0.3582671716
40,23,1,4,46,0.3588459554
1,22,51,4,46,0.3594247392
1,37,20,10,46,0.360003523
1,,,29,46,0.3605823068
,,,6,46,0.3611610906
,,,,46,0.3617398744
,,,,46,0.3623186582
,,,,46,0.362897442
,,,,46,0.3634762258
,,,,46,0.3640550096
,,,,46,0.3646337934
,,,,46,0.3652125772
,,,,46,0.365791361
2,51,1,2,45,0.3663575626
1,5,2,1,45,0.3669237641
1,68,3,1,45,0.3674899657
53,3,46,1,45,0.3680561672
2,68,24,1,45,0.3686223687
4,1,47,14,45,0.3691885703
,,,,45,0.3697547718
,,,,45,0.3703209734
,,,,45,0.3708871749
,,,,45,0.3714533764
,,,,45,0.372019578
,,,,45,0.3725857795
,,,,45,0.3731519811
29,2,4,5,44,0.3737056004
3,1,27,1,44,0.3742592196
56,1,60,6,44,0.3748128389
2,,,1,44,0.3753664582
1,,,23,44,0.3759200775
,,,,44,0.3764736968
,,,,44,0.3770273161
,,,,44,0.3775809354
,,,,44,0.3781345547
,,,,44,0.3786881739
,,,,44,0.3792417932
,,,,44,0.3797954125
,,,,44,0.3803490318
,,,,44,0.3809026511
,,,,44,0.3814562704
,,,,44,0.3820098897
,,,,44,0.3825635089
,,,,44,0.3831171282
54,1,23,14,43,0.3836581653
2,3,56,5,43,0.3841992023
1,1,17,3,43,0.3847402393
2,43,4,34,43,0.3852812763
2,10,3,1,43,0.3858223134
3,1,,18,43,0.3863633504
4,,,22,43,0.3869043874
1,,,1,43,0.3874454245
3,,,11,43,0.3879864615
,,,25,43,0.3885274985
,,,1,43,0.3890685356
,,,34,43,0.3896095726
,,,1,43,0.3901506096
,,,,43,0.3906916466
,,,,43,0.3912326837
,,,,43,0.3917737207
,,,,43,0.3923147577
,,,,43,0.3928557948
,,,,43,0.3933968318
,,,,43,0.3939378688
,,,,43,0.3944789058
,,,,43,0.3950199429
,,,,43,0.3955609799
,,,,43,0.3961020169
,,,,43,0.396643054
5,65,60,18,42,0.3971715087
1,11,70,1,42,0.3976999635
3,21,,37,42,0.3982284183
1,,,6,42,0.3987568731
,,,14,42,0.3992853278
,,,,42,0.3998137826
,,,,42,0.4003422374
,,,,42,0.4008706921
,,,,42,0.4013991469
,,,,42,0.4019276017
,,,,42,0.4024560565
,,,,42,0.4029845112
,,,,42,0.403512966
2,1,1,1,41,0.4040288385
7,71,1,26,41,0.404544711
2,5,14,4,41,0.4050605836
25,1,,15,41,0.4055764561
19,36,,4,41,0.4060923286
1,16,,7,41,0.4066082011
39,6,,7,41,0.4071240736
14,,,8,41,0.4076399461
18,,,3,41,0.4081558187
,,,9,41,0.4086716912
,,,,41,0.4091875637
,,,,41,0.4097034362
,,,,41,0.4102193087
,,,,41,0.4107351812
,,,,41,0.4112510538
,,,,41,0.4117669263
,,,,41,0.4122827988
,,,,41,0.4127986713
,,,,41,0.4133145438
,,,,41,0.4138304163
,,,,41,0.4143462889
,,,,41,0.4148621614
,,,,41,0.4153780339
2,6,47,27,40,0.4158813242
24,18,24,17,40,0.4163846144
41,1,111,5,40,0.4168879047
10,3,10,12,40,0.4173911949
1,7,,9,40,0.4178944852
12,1,,25,40,0.4183977755
1,,,1,40,0.4189010657
,,,1,40,0.419404356
,,,9,40,0.4199076462
,,,,40,0.4204109365
,,,,40,0.4209142268
,,,,40,0.421417517
,,,,40,0.4219208073
,,,,40,0.4224240975
,,,,40,0.4229273878
,,,,40,0.4234306781
,,,,40,0.4239339683
,,,,40,0.4244372586
,,,,40,0.4249405488
,,,,40,0.4254438391
,,,,40,0.4259471294
1,29,2,1,39,0.4264378374
1,32,6,1,39,0.4269285454
1,1,,51,39,0.4274192534
4,67,,1,39,0.4279099614
4,1,,2,39,0.4284006694
10,,,3,39,0.4288913774
5,,,2,39,0.4293820854
,,,1,39,0.4298727934
,,,11,39,0.4303635014
,,,2,39,0.4308542094
,,,,39,0.4313449174
,,,,39,0.4318356254
,,,,39,0.4323263334
,,,,39,0.4328170414
,,,,39,0.4333077494
,,,,39,0.4337984574
,,,,39,0.4342891654
,,,,39,0.4347798734
,,,,39,0.4352705814
,,,,39,0.4357612894
,,,,39,0.4362519974
,,,,39,0.4367427054
8,2,12,15,38,0.4372208312
1,4,1,27,38,0.4376989569
1,54,14,50,38,0.4381770827
45,69,18,15,38,0.4386552084
37,10,41,1,38,0.4391333342
1,16,74,2,38,0.4396114599
1,8,11,10,38,0.4400895857
10,5,14,17,38,0.4405677114
10,1,1,7,38,0.4410458372
2,,,9,38,0.4415239629
27,,,1,38,0.4420020887
,,,43,38,0.4424802144
,,,,38,0.4429583401
,,,,38,0.4434364659
,,,,38,0.4439145916
,,,,38,0.4443927174
,,,,38,0.4448708431
,,,,38,0.4453489689
,,,,38,0.4458270946
,,,,38,0.4463052204
,,,,38,0.4467833461
,,,,38,0.4472614719
,,,,38,0.4477395976
,,,,38,0.4482177234
,,,,38,0.4486958491
,,,,38,0.4491739749
,,,,38,0.4496521006
,,,,38,0.4501302264
,,,,38,0.4506083521
,,,,38,0.4510864778
19,4,50,93,37,0.4515520213
2,3,23,42,37,0.4520175648
9,2,11,1,37,0.4524831083
35,10,62,48,37,0.4529486518
2,8,51,18,37,0.4534141953
17,17,18,7,37,0.4538797388
1,3,12,1,37,0.4543452823
1,3,3,2,37,0.4548108258
129,33,17,20,37,0.4552763693
47,2,34,10,37,0.4557419128
21,35,9,32,37,0.4562074562
1,14,42,39,37,0.4566729997
6,41,,1,37,0.4571385432
56,,,1,37,0.4576040867
2,,,1,37,0.4580696302
13,,,8,37,0.4585351737
,,,11,37,0.4590007172
,,,9,37,0.4594662607
,,,5,37,0.4599318042
,,,,37,0.4603973477
,,,,37,0.4608628912
,,,,37,0.4613284346
,,,,37,0.4617939781
,,,,37,0.4622595216
,,,,37,0.4627250651
,,,,37,0.4631906086
,,,,37,0.4636561521
,,,,37,0.4641216956
,,,,37,0.4645872391
,,,,37,0.4650527826
,,,,37,0.4655183261
20,1,56,2,36,0.4659712873
4,64,18,1,36,0.4664242485
12,12,28,1,36,0.4668772098
1,23,2,2,36,0.467330171
1,49,18,19,36,0.4677831322
12,7,,1,36,0.4682360935
43,,,15,36,0.4686890547
37,,,2,36,0.4691420159
19,,,2,36,0.4695949772
7,,,60,36,0.4700479384
,,,8,36,0.4705008996
,,,1,36,0.4709538609
,,,1,36,0.4714068221
,,,,36,0.4718597833
,,,,36,0.4723127446
,,,,36,0.4727657058
,,,,36,0.473218667
,,,,36,0.4736716283
,,,,36,0.4741245895
,,,,36,0.4745775507
,,,,36,0.475030512
,,,,36,0.4754834732
,,,,36,0.4759364344
,,,,36,0.4763893957
,,,,36,0.4768423569
,,,,36,0.4772953181
,,,,36,0.4777482794
,,,,36,0.4782012406
,,,,36,0.4786542018
,,,,36,0.4791071631
,,,,36,0.4795601243
,,,,36,0.4800130855
,,,,36,0.4804660468
,,,,36,0.480919008
1,8,5,1,35,0.481359387
46,77,64,24,35,0.481799766
16,30,9,9,35,0.4822401449
9,7,1,4,35,0.4826805239
5,1,6,3,35,0.4831209029
19,7,53,18,35,0.4835612819
2,46,17,1,35,0.4840016609
16,10,31,2,35,0.4844420398
46,3,,2,35,0.4848824188
1,,,40,35,0.4853227978
1,,,17,35,0.4857631768
,,,1,35,0.4862035557
,,,13,35,0.4866439347
,,,,35,0.4870843137
,,,,35,0.4875246927
,,,,35,0.4879650717
,,,,35,0.4884054506
,,,,35,0.4888458296
,,,,35,0.4892862086
,,,,35,0.4897265876
,,,,35,0.4901669665
,,,,35,0.4906073455
,,,,35,0.4910477245
,,,,35,0.4914881035
,,,,35,0.4919284825
,,,,35,0.4923688614
1,2,20,40,34,0.4927966582
33,1,82,9,34,0.4932244549
29,2,57,1,34,0.4936522516
16,1,4,1,34,0.4940800483
13,15,35,47,34,0.494507845
7,19,26,32,34,0.4949356418
1,1,62,1,34,0.4953634385
57,5,21,8,34,0.4957912352
1,,,17,34,0.4962190319
16,,,1,34,0.4966468286
5,,,21,34,0.4970746254
7,,,1,34,0.4975024221
25,,,10,34,0.4979302188
15,,,1,34,0.4983580155
,,,47,34,0.4987858122
,,,1,34,0.499213609
,,,,34,0.4996414057
,,,,34,0.5000692024
,,,,34,0.5004969991
,,,,34,0.5009247959
,,,,34,0.5013525926
,,,,34,0.5017803893
,,,,34,0.502208186
,,,,34,0.5026359827
,,,,34,0.5030637795
,,,,34,0.5034915762
,,,,34,0.5039193729
,,,,34,0.5043471696
,,,,34,0.5047749663
,,,,34,0.5052027631
,,,,34,0.5056305598
,,,,34,0.5060583565
1,2,20,2,33,0.506473571
47,3,6,7,33,0.5068887854
1,1,11,1,33,0.5073039999
16,1,1,11,33,0.5077192144
3,1,17,20,33,0.5081344288
1,4,5,16,33,0.5085496433
6,1,3,74,33,0.5089648578
61,17,1,3,33,0.5093800722
6,1,,1,33,0.5097952867
10,21,,13,33,0.5102105012
10,,,1,33,0.5106257156
3,,,9,33,0.5110409301
8,,,1,33,0.5114561445
12,,,1,33,0.511871359
,,,15,33,0.5122865735
,,,1,33,0.5127017879
,,,,33,0.5131170024
,,,,33,0.5135322169
,,,,33,0.5139474313
,,,,33,0.5143626458
,,,,33,0.5147778603
,,,,33,0.5151930747
,,,,33,0.5156082892
,,,,33,0.5160235037
,,,,33,0.5164387181
,,,,33,0.5168539326
,,,,33,0.517269147
,,,,33,0.5176843615
,,,,33,0.518099576
,,,,33,0.5185147904
