CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
3,1,1,39,4
1,35,6,4,6
7,4,4,2,3
6,69,3,2,32
155,10,1,3,39
18,7,3,12,7
1,2,2,4,3
41,3,8,3,10
4,39,1,2,1
5,7,7,5,18
1,2,5,2,18
7,10,1,12,37
3,14,1,3,5
3,1,8,1,1
4,2,41,4,14
2,1,3,3,10
1,5,12,3,1
1,1,8,1,8
1,9,2,1,13
25,16,55,4,1
1,6,12,3,22
1,15,20,4,1
1,5,13,7,26
2,29,21,5,7
2,1,19,7,5
1,3,43,1,12
1,3,17,14,2
12,1,98,5,21
1,12,16,3,2
1,4,16,3,6
1,8,25,7,11
22,2,35,80,38
98,3,98,4,13
3,17,10,1,18
6,2,8,17,22
4,103,21,3,2
1,37,7,2,2
3,14,32,2,2
3,15,12,1,1
55,2,17,7,6
4,3,14,6,6
6,2,16,4,2
26,11,14,2,4
2,1,5,2,52
1,6,11,1,7
16,5,7,11,3
1,2,11,4,2
5,2,63,3,2
3,15,45,1,1
6,5,11,1,1
4,1,53,7,7
9,1,30,6,6
2,5,11,2,1
14,6,119,5,8
1,15,110,11,74
1,2,26,11,47
21,5,18,8,15
2,5,3,3,1
20,10,31,2,1
1,1,41,1,1
5,4,97,1,3
7,2,12,2,1
6,9,19,3,30
3,1,28,1,1
2,1,9,14,9
25,6,3,1,63
4,5,11,2,3
11,5,56,2,1
1,2,6,1,1
17,37,17,3,1
116,12,9,5,4
24,18,5,81,1
7,17,31,1,1
58,12,15,16,1
6,4,16,1,1
12,6,2,2,20
2,9,12,8,10
5,5,12,9,6
5,13,34,1,4
7,6,1,2,50
31,1,2,4,4
48,1,10,2,53
10,6,77,11,14
1,1,2,6,2
6,4,14,2,1
5,10,15,5,2
21,1,16,1,11
1,1,12,3,36
3,1,13,4,10
2,29,40,13,1
7,6,6,1,56
16,6,8,1,9
17,8,67,1,3
1,12,16,1,1
3,3,4,2,4
1,12,1,1,9
12,12,7,5,5
64,33,2,3,11
14,3,7,9,19
4,16,1,19,1
1,5,8,3,6
3,6,9,3,5
4,5,12,9,3
16,39,5,1,13
32,20,12,60,8
3,2,1,2,2
2,5,11,4,4
4,11,5,8,2
3,1,14,1,12
38,1,21,1,4
1,1,11,3,6
50,1,4,4,2
30,13,19,2,8
2,1,28,2,41
14,1,5,2,3
23,5,25,2,10
