PeriodId,WhoDo-1064
4,4.268292683
5,0.173310225
6,-5.882352941
7,-7.918552036
8,-14.09090909
9,-18.18181818
10,-21.96428571
11,-31.02310231
12,-34.76783692
13,-40.66130474
14,-37.74560496
15,-29.6
16,-37.6969697
17,-32.01035375
18,-38.99371069
19,-38.43085106
20,-47.60802469
21,-36.04651163
median,-31.51672803
