PeriodId,SofiaV2-10147
1,-4.50079647022714
2,-0.892518447748236
3,-1.33361823679766
4,-0.547352421835601
5,-0.0441542100578229
6,-1.00417047667573
7,-1.01735043382248
8,-2.94843624839989
9,-2.96191448549092
10,-4.35318282339276
11,-2.78629302327577
12,-0.811467778369379
13,-1.68879405371781
14,-1.5326539992028
15,-1.94142655226316
16,-2.43565871085184
Median,-1.61072402646031
Average,-1.61072402646031
