PeriodId,SofiaWithBirdLoadWork-1063
4,9.756097561
5,13.51819757
6,6.209150327
7,2.488687783
8,-3.409090909
9,-4.081632653
10,-10.17857143
11,-17.16171617
12,-22.19705549
13,-27.43521001
14,-24.09513961
15,-25.46666667
16,-32.12121212
17,-23.55478861
18,-32.88409704
19,-31.11702128
20,-37.73148148
21,-30.85867621
,-22.87592205
