PeriodId,SofiaWithBirdLoadWork-1063
4,-16.66666667
5,-6.451612903
6,-33.33333333
7,-26.01626016
8,-35.8974359
9,-13.63636364
10,-28.125
11,-22.33009709
12,-33.04347826
13,-47.40740741
14,-36
15,-43.96551724
16,-47.36842105
17,-55.71428571
18,-52.87356322
19,-53.88127854
20,-55.25291829
21,-63.29113924
,-35.94871795
