PeriodId,SofiaWithBirdLoadWork-11049
1,6.849315068
2,9.311740891
3,3.5
4,13.49480969
5,6.913996627
6,-0.544217687
7,-12.16730038
8,-8.090614887
9,-13.68159204
10,-20.88452088
11,-21.24277457
12,-24.15458937
13,-12.95264624
14,-8.20610687
15,-15.35836177
16,-17.09531014
17,-15.84766585
median,-12.16730038
