CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,47,9,8,2
1,24,13,1,1
5,1,23,1,3
4,1,35,3,1
22,1,1,1,15
33,1,3,3,3
20,1,2,1,9
13,2,1,1,5
37,11,3,2,5
54,17,1,5,12
78,8,1,8,3
27,1,2,1,7
1,1,3,2,1
3,1,2,1,6
8,2,2,1,1
1,2,2,4,2
1,1,6,1,1
1,6,1,4,1
1,1,3,1,1
5,1,4,1,1
1,2,8,1,1
7,5,38,1,3
25,7,35,1,1
20,1,10,1,12
1,6,2,6,7
1,1,2,9,1
1,22,2,1,1
4,1,4,1,1
1,1,5,1,19
4,2,5,1,74
2,3,5,1,130
1,2,3,3,115
1,1,17,2,1
1,1,3,1,1
2,2,1,1,3
1,1,2,1,1
2,4,1,1,3
1,4,1,2,19
1,12,3,1,37
1,5,3,4,20
1,19,8,20,1
1,1,12,25,8
5,8,1,31,13
1,9,19,1,11
10,16,5,3,11
1,1,2,5,10
1,4,71,16,9
1,4,46,2,78
1,1,1,3,652
2,4,1,1,91
2,1,1,1,165
2,5,12,1,41
4,1,6,1,3
5,1,2,1,1
1,1,7,1,1
1,1,1,4,29
1,1,14,13,1
1,1,5,43,3
2,1,2,12,4
3,2,2,21,2
1,36,1,1,1
1,52,2,1,3
1,77,1,2,2
1,80,9,5,17
1,109,3,1,1
13,25,6,1,13
1,21,10,3,8
1,65,10,1,8
1,6,12,1,14
3,27,12,1,2
1,3,8,4,2
2,1,10,36,10
1,4,4,175,4
3,11,5,129,1
6,6,4,136,2
2,31,1,65,1
7,7,1,57,13
1,2,1,25,21
35,1,1,7,17
70,7,1,1,8
40,1,1,1,1
1,1,1,4,1
10,6,1,1,2
7,2,2,3,1
1,8,1,2,3
1,5,1,1,1
22,1,1,6,1
4,1,1,6,1
34,11,1,1,86
15,1,1,1,3
2,1,1,1,34
3,8,1,7,25
2,5,1,14,6
3,6,1,2,1
1,3,1,5,1
1,1,1,1,1
3,1,1,1,3
1,4,1,2,3
1,2,1,1,7
4,12,1,1,2
