CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
5,7,1,1,6
1,12,20,2,2
1,1,22,26,186
36,1,10,24,16
13,50,10,1,2
1,34,1,7,1
1,10,1,4,36
1,62,1,1,129
7,1,1,1,109
1,2,1,1,82
7,15,62,110,2
16,8,4,6,20
1,52,1,2,1
1,63,129,477,27
9,17,1,52,91
20,2,1,1,14
1,6,2,6,1
4,1,29,2,1
2,3,5,3,1
1,1,96,1,4
1,1,75,11,1
32,1,1,3,8
16,1,1,55,2
12,1,28,1,41
3,1,1,1,43
2,7,51,1,1
529,4,4,2,10
1,1,1,6,4
1,1,10,14,50
30,3,1,1,83
4,1,88,2,1
4,6,126,1,42
2,1,2,47,4
1,1,6,1,1
8,1,52,38,1
1,2,76,12,2
1,27,1,1,34
14,20,15,3,3
1,3,182,1,18
1,32,1,138,204
2,29,26,5,18
7,2,2,3,7
2,4,1,1,1
14,6,1,3,16
67,1,1,3,3
120,1,13,1,8
3,64,1,2,22
3,2,4,4,5
2,49,49,2,39
3,83,4,1,1
2,2,1,3,17
1,10,2,3,1
1,2,2,8,1
1,4,1,1,2
1,7,1,3,17
1,5,6,3,1
5,1,1,48,32
17,2,2,2,1
1,2,15,5,115
4,2,1,1,2
29,1,16,1,7
11,3,22,3,77
1,10,3,1,2
72,1,12,38,55
7,1,1,106,3
2,20,1,3,2
1,1,1,8,40
38,1,1,2,5
4,1,1,6,2
38,11,1,4,17
66,5,1,1,90
1,133,2,3,4
2,35,2,4,5
15,1,1,3,43
43,14,1,16,4
14,1,4,20,8
16,2,1,3,5
1,1,50,122,8
1,5,4,34,4
77,8,133,1,6
2,1,1,7,2
6,6,1,10,267
7,4,5,3,27
8,3,24,1,1
26,14,1,2,41
2,7,3,1,4
39,1,4,1,80
15,1,110,4,108
1,4,94,3,1
7,4,1,1,1
2,4,1,44,1
1,1,3,5,2
1,7,44,1,9
2,1,20,525,7
18,11,6,49,10
7,14,4,19,22
1,2,14,8,70
6,1,3,2,109
47,8,86,30,1
10,2,154,2,1
4,54,1,57,55
2,10,13,2,1
1,6,1,1,112
1,2,24,1,1
2,27,126,2,1
14,6,1,9,11
1,1,10,1,1
2,14,216,1,1
1,37,1,1,41
2,2,2,2,2
5,29,37,35,4
3,2,1,2,10
1,4,1,67,1
19,6,4,2,34
10,1,2,1,4
11,1,9,1,1
1,1,1,1,3
1,2,1,1,178
378,1,66,1,117
5,1,3,72,1
52,1,7,6,85
4,3,1,1,1
1,1,2,3,3
1,1,36,4,3
1,1,20,1,1
2,1,19,1,1
1,1,2,1,4
1,1,33,3,102
8,2,24,1,5
2,1,18,1,9
4,37,9,3,1
1,10,1,13,196
1,4,1,45,2
1,24,1,1,15
1,10,1,4,1
1,1,2,1,1
2,1,1,8,54
1,17,1,1,119
1,6,1,3,101
1,1,1,1,76
41,1,1,1,2
95,3,4,34,1
2,1,41,1,28
1,3,6,65,19
6,43,141,8,49
1,53,3,1,2
3,64,3,3,5
3,1,42,13,18
1,1,2,3,1
11,4,1,7,1
3,25,1,1,1
3,2,1,3,9
1,4,106,1,1
7,1,106,1,1
1,3,1,1,3
3,3,6,2,43
26,2,41,9,5
44,5,13,13,43
