PeriodId,TurnoverRec-92
3,0
7,300
8,300
9,0
10,9.09090909090908
11,20
12,36
13,91.6666666666667
14,18.2857142857143
15,8.21428571428571
16,8.08823529411764
17,5.11182108626198
18,9.69899665551839
19,8.43644544431945
20,6.27906976744186
21,6.4516129032258
22,5.41760722347631
23,5.70388349514563
24,7.95454545454546
25,4.5940170940171
26,6.36704119850187
27,6.5081351689612
28,7.5
29,9.09090909090908
30,5.20231213872833
31,7.13391739674594
32,9.54935622317596
33,13.7472283813747
34,16.025641025641
35,15.3548387096774
Median,8.15126050420167
Average,8.15126050420167
