PeriodId,TurnoverRec-92
3,0
7,0
8,0
9,0
10,0
11,-2.76370649551605
12,1.28240554857695
13,13.5638538928669
14,2.60030386650605
15,-2.35983187137004
16,-1.25140810723225
17,-0.119551110945548
18,2.00802089534295
19,2.4685679855287
20,2.22080020634416
21,1.65888577730215
22,1.0799406675386
23,-0.258816408494722
24,-0.155007336862756
25,-3.18322928049607
26,-1.30223798030575
27,-1.87101579875266
28,-1.60033521083834
29,-0.0464305218775052
30,-1.43121707858844
31,-1.19055144880257
32,-0.205844177889358
33,-2.07939278462137
34,0.144386899514037
35,-0.600845858176091
Median,-0.0829908164115267
Average,-0.0829908164115267
