PeriodId,WhoDo-11050
1,0.684931507
2,7.287449393
3,1.5
4,8.996539792
5,-6.239460371
6,-14.82993197
7,-14.63878327
8,-16.50485437
9,-20.77114428
10,-27.51842752
11,-27.4566474
12,-27.37520129
13,-27.29805014
14,-29.38931298
15,-30.20477816
16,-27.08018154
17,-28.86977887
median,-20.77114428
