PeriodId,WhoDo-11050
1,17.97963979
2,23.48198396
3,18.92292357
4,12.34610054
5,7.170808586
6,5.051747542
7,2.884748072
8,3.007240274
9,1.510108211
10,1.340069305
11,-0.056057347
12,-0.873342977
13,-0.243799848
14,2.014444694
15,0.481460452
16,-1.004199713
17,-4.884080353
median,2.014444694
