PeriodId,SofiaWithBirdLoadWork-11023
1,-2.160493827
2,-4.977375566
3,-6.090373281
4,-9.463148317
5,-4.723346829
6,-11.62377995
7,-12.97468354
8,-18.68995633
9,-16.56976744
10,-20.82132565
11,-22.55232951
12,-16.41791045
13,-19.12013536
14,-23.40611354
15,-21.34969325
16,-21.17202268
17,-23.84823848
18,-26.52849741
,-17.62986189
