PeriodId,SofiaWithBirdLoadWork-11023
1,72
2,-29.6875
3,-6.306306306
4,-25.40540541
5,56.41025641
6,-16.28959276
7,-33.11897106
8,-16.89373297
9,-33.51206434
10,-16.45885287
11,-35.60209424
12,-42.95485636
13,-17.33102253
14,-30.23897059
15,-37.94406652
16,-39.7260274
17,-33.73071529
18,-27.3130545
,-28.50027725
