PeriodId,WhoDo-20934
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,9.142857143
15,-2.5
16,-5.147058824
17,-7.987220447
18,-18.72909699
19,-37.90776153
20,-44.10852713
21,-44.43288241
22,-42.0993228
23,-47.45145631
24,-46.46464646
25,-54.59401709
26,-49.06367041
27,-55.06883605
28,-49.5
29,-44.79578393
30,-54.68208092
31,-51.18898623
32,-51.07296137
33,-53.4368071
34,-52.69230769
35,-54.96774194
36,-47.25274725
median,-44.10852713
