PeriodId,TurnoverRec-61
3,0
7,0
8,0
9,0
10,0
11,4.08042211241886
12,7.61258456613099
13,15.5300821378062
14,5.38643460309034
15,2.16299614641922
16,1.64901898502163
17,3.02159588571667
18,4.95088627129838
19,5.01198858293901
20,3.35189691827258
21,2.76934856771121
22,2.85292879296011
23,1.94974953402833
24,2.80469298698851
25,2.12105146982959
26,1.37628382748272
27,1.92591338515202
28,2.80297422674061
29,2.81726167425682
30,2.49500571061425
31,3.37636796471465
32,3.43043948052759
33,2.80319547379178
34,4.06254925462166
35,3.26410755226108
Median,2.80394423039014
Average,2.80394423039014
