PeriodId,TurnoverRec-61
3,0
7,0
8,0
9,0
10,27.2727272727273
11,33.3333333333333
12,36
13,50
14,29.7142857142857
15,23.5714285714286
16,24.6323529411765
17,21.7252396166134
18,27.0903010033445
19,27.2215973003375
20,16.8992248062015
21,17.585848074922
22,19.1873589164786
23,20.3883495145631
24,23.8636363636364
25,18.9102564102564
26,23.3458177278402
27,21.026282853567
28,21.375
29,23.3201581027668
30,20.2312138728324
31,30.5381727158949
32,30.3648068669528
33,36.3636363636364
34,41.1538461538462
35,33.8064516129032
Median,23.4586231496344
Average,23.4586231496344
