PeriodId,TurnoverRec-90
3,0
7,0
8,0
9,0
10,0
11,-3.31677494876319
12,0.295392492900537
13,13.9570995418547
14,0.402425938562989
15,-3.35559775333183
16,-1.87333385479619
17,-0.184318580858789
18,1.95023958249578
19,2.4115889919941
20,1.49410109619268
21,1.25546473322817
22,0.575666554510068
23,-0.690727369758448
24,-0.380018353999934
25,-3.57478700576218
26,-1.95662404719029
27,-1.53595188823962
28,-1.92241937098774
29,-1.21933211269158
30,-1.32977051619835
31,-1.27943667995088
32,-1.30729322053542
33,-2.03408453113366
34,-0.236164185834709
35,-1.44057477051962
Median,-0.308091269917321
Average,-0.308091269917321
