PeriodId,TurnoverRec-90
3,0
7,0
8,0
9,0
10,0
11,0
12,4
13,0
14,4
15,2.49999999999999
16,3.30882352941178
17,3.5143769968051
18,3.67892976588629
19,5.84926884139483
20,4.8062015503876
21,5.20291363163372
22,4.74040632054176
23,5.94660194174756
24,5.55555555555556
25,4.48717948717949
26,5.24344569288389
27,5.13141426783479
28,5.49999999999999
29,7.64163372859026
30,3.46820809248556
31,6.00750938673342
32,8.15450643776825
33,10.9756097560976
34,13.0769230769231
35,12.3870967741935
Median,4.61379290386063
Average,4.61379290386063
